"P & C Collateral (Non-Auto, Non-Homeowners)",Enterprise Collateral,Enterprise Tenure,Business Type,RELATIONSHIP
PC,EB,CA,BA,ASB
PC,EB,CA,BB,ASB
PC,EB,CA,BC,ASB
PC,EB,CA,BD,ASB
PC,EB,CB,BA,ASC
PC,EB,CB,BB,ASC
PC,EB,CB,BC,ASC
PC,EB,CB,BD,ASC
PC,EB,CC,BA,ASD
PC,EB,CC,BB,ASD
PC,EB,CC,BC,ASD
PC,EB,CC,BD,ASD
PC,EB,CD,BA,ASE
PC,EB,CD,BB,ASE
PC,EB,CD,BC,ASE
PC,EB,CD,BD,ASE
PC,EB,CE,BA,ASF
PC,EB,CE,BB,ASF
PC,EB,CE,BC,ASF
PC,EB,CE,BD,ASF
PC,EB,CF,BA,ASG
PC,EB,CF,BB,ASG
PC,EB,CF,BC,ASG
PC,EB,CF,BD,ASG
PC,EB,CG,BA,ASH
PC,EB,CG,BB,ASH
PC,EB,CG,BC,ASH
PC,EB,CG,BD,ASH
PC,EC,CA,BA,ASB
PC,EC,CA,BB,ASB
PC,EC,CA,BC,ASB
PC,EC,CA,BD,ASB
PC,EC,CB,BA,ASC
PC,EC,CB,BB,ASC
PC,EC,CB,BC,ASC
PC,EC,CB,BD,ASC
PC,EC,CC,BA,ASD
PC,EC,CC,BB,ASD
PC,EC,CC,BC,ASD
PC,EC,CC,BD,ASD
PC,EC,CD,BA,ASE
PC,EC,CD,BB,ASE
PC,EC,CD,BC,ASE
PC,EC,CD,BD,ASE
PC,EC,CE,BA,ASF
PC,EC,CE,BB,F
PC,EC,CE,BC,ASF
PC,EC,CE,BD,ASF
PC,EC,CF,BA,ASG
PC,EC,CF,BB,ASG
PC,EC,CF,BC,ASG
PC,EC,CF,BD,ASG
PC,EC,CG,BA,ASH
PC,EC,CG,BB,ASH
PC,EC,CG,BC,ASH
PC,EC,CG,BD,ASH
PC,ED,CA,BA,ASB
PC,ED,CA,BB,ASB
PC,ED,CA,BC,ASB
PC,ED,CA,BD,ASB
PC,ED,CB,BA,ASC
PC,ED,CB,BB,ASC
PC,ED,CB,BC,ASC
PC,ED,CB,BD,ASC
PC,ED,CC,BA,ASD
PC,ED,CC,BB,ASD
PC,ED,CC,BC,ASD
PC,ED,CC,BD,ASD
PC,ED,CD,BA,ASE
PC,ED,CD,BB,ASE
PC,ED,CD,BC,ASE
PC,ED,CD,BD,ASE
PC,ED,CE,BA,ASF
PC,ED,CE,BB,ASF
PC,ED,CE,BC,ASF
PC,ED,CE,BD,ASF
PC,ED,CF,BA,ASG
PC,ED,CF,BB,ASG
PC,ED,CF,BC,ASG
PC,ED,CF,BD,ASG
PC,ED,CG,BA,ASH
PC,ED,CG,BB,ASH
PC,ED,CG,BC,ASH
PC,ED,CG,BD,ASH
PC,EE,CA,BA,ASC
PC,EE,CA,BB,ASC
PC,EE,CA,BC,ASC
PC,EE,CA,BD,ASC
PC,EE,CB,BA,ASD
PC,EE,CB,BB,ASD
PC,EE,CB,BC,ASD
PC,EE,CB,BD,ASD
PC,EE,CC,BA,ASE
PC,EE,CC,BB,ASE
PC,EE,CC,BC,ASE
PC,EE,CC,BD,ASE
PC,EE,CD,BA,ASF
PC,EE,CD,BB,ASF
PC,EE,CD,BC,ASF
PC,EE,CD,BD,ASF
PC,EE,CE,BA,ASG
PC,EE,CE,BB,ASG
PC,EE,CE,BC,ASG
PC,EE,CE,BD,ASG
PC,EE,CF,BA,ASH
PC,EE,CF,BB,ASH
PC,EE,CF,BC,ASH
PC,EE,CF,BD,ASH
PC,EE,CG,BA,ASI
PC,EE,CG,BB,ASI
PC,EE,CG,BC,ASI
PC,EE,CG,BD,ASI
PC,EF,CA,BA,ASC
PC,EF,CA,BB,ASC
PC,EF,CA,BC,ASC
PC,EF,CA,BD,ASC
PC,EF,CB,BA,ASD
PC,EF,CB,BB,ASD
PC,EF,CB,BC,ASD
PC,EF,CB,BD,ASD
PC,EF,CC,BA,ASE
PC,EF,CC,BB,ASE
PC,EF,CC,BC,ASE
PC,EF,CC,BD,ASE
PC,EF,CD,BA,ASF
PC,EF,CD,BB,ASF
PC,EF,CD,BC,ASF
PC,EF,CD,BD,ASG
PC,EF,CE,BA,ASG
PC,EF,CE,BB,ASG
PC,EF,CE,BC,ASG
PC,EF,CE,BD,ASG
PC,EF,CF,BA,ASH
PC,EF,CF,BB,ASH
PC,EF,CF,BC,ASH
PC,EF,CF,BD,ASH
PC,EF,CG,BA,ASI
PC,EF,CG,BB,ASI
PC,EF,CG,BC,ASI
PC,EF,CG,BD,ASI
PC,EG,CA,BA,ASC
PC,EG,CA,BB,ASC
PC,EG,CA,BC,ASC
PC,EG,CA,BD,ASC
PC,EG,CB,BA,ASD
PC,EG,CB,BB,ASD
PC,EG,CB,BC,ASD
PC,EG,CB,BD,ASD
PC,EG,CC,BA,ASE
PC,EG,CC,BB,ASE
PC,EG,CC,BC,ASE
PC,EG,CC,BD,ASE
PC,EG,CD,BA,ASF
PC,EG,CD,BB,ASF
PC,EG,CD,BC,ASF
PC,EG,CD,BD,ASF
PC,EG,CE,BA,ASG
PC,EG,CE,BB,ASG
PC,EG,CE,BC,ASG
PC,EG,CE,BD,ASG
PC,EG,CF,BA,ASH
PC,EG,CF,BB,ASH
PC,EG,CF,BC,ASH
PC,EG,CF,BD,ASH
PC,EG,CG,BA,ASI
PC,EG,CG,BB,ASI
PC,EG,CG,BC,ASI
PC,EG,CG,BD,ASI
PC,EH,CA,BA,ASD
PC,EH,CA,BB,ASD
PC,EH,CA,BC,ASD
PC,EH,CA,BD,ASD
PC,EH,CB,BA,ASE
PC,EH,CB,BB,ASE
PC,EH,CB,BC,ASE
PC,EH,CB,BD,ASE
PC,EH,CC,BA,ASF
PC,EH,CC,BB,ASF
PC,EH,CC,BC,ASF
PC,EH,CC,BD,ASF
PC,EH,CD,BA,ASG
PC,EH,CD,BB,ASG
PC,EH,CD,BC,ASG
PC,EH,CD,BD,ASG
PC,EH,CE,BA,ASH
PC,EH,CE,BB,ASH
PC,EH,CE,BC,ASH
PC,EH,CE,BD,ASH
PC,EH,CF,BA,ASI
PC,EH,CF,BB,ASI
PC,EH,CF,BC,ASI
PC,EH,CF,BD,ASI
PC,EH,CG,BA,ASJ
PC,EH,CG,BB,ASJ
PC,EH,CG,BC,ASJ
PC,EH,CG,BD,ASJ
PD,EA,CA,BA,ASA
PD,EA,CA,BB,ASA
PD,EA,CA,BC,ASA
PD,EA,CA,BD,ASA
PD,EA,CB,BA,ASB
PD,EA,CB,BB,ASB
PD,EA,CB,BC,ASB
PD,EA,CB,BD,ASB
PD,EA,CC,BA,ASC
PD,EA,CC,BB,ASC
PD,EA,CC,BC,ASC
PD,EA,CC,BD,ASC
PD,EA,CD,BA,ASD
PD,EA,CD,BB,ASD
PD,EA,CD,BC,ASD
PD,EA,CD,BD,ASD
PD,EA,CE,BA,ASE
PD,EA,CE,BB,ASE
PD,EA,CE,BC,ASE
PD,EA,CE,BD,ASE
PD,EA,CF,BA,ASF
PD,EA,CF,BB,ASF
PD,EA,CF,BC,ASF
PD,EA,CF,BD,ASF
PD,EA,CG,BA,ASG
PD,EA,CG,BB,ASG
PD,EA,CG,BC,ASG
PD,EA,CG,BD,ASG
PD,EB,CA,BA,ASB
PD,EB,CA,BB,ASB
PD,EB,CA,BC,ASB
PD,EB,CA,BD,ASB
PD,EB,CB,BA,ASC
PD,EB,CB,BB,ASC
PD,EB,CB,BC,ASC
PD,EB,CB,BD,ASC
PD,EB,CC,BA,ASD
PD,EB,CC,BB,ASD
PD,EB,CC,BC,ASD
PD,EB,CC,BD,ASD
PD,EB,CD,BA,ASE
PD,EB,CD,BB,ASE
PD,EB,CD,BC,ASE
PD,EB,CD,BD,ASE
PD,EB,CE,BA,ASF
PD,EB,CE,BB,ASF
PD,EB,CE,BC,ASF
PD,EB,CE,BD,ASF
PD,EB,CF,BA,ASG
PD,EB,CF,BB,ASG
PD,EB,CF,BC,ASG
PD,EB,CF,BD,ASG
PD,EB,CG,BA,ASH
PD,EB,CG,BB,ASH
PD,EB,CG,BC,ASH
PD,EB,CG,BD,ASH
PD,EC,CA,BA,ASB
PD,EC,CA,BB,ASB
PD,EC,CA,BC,ASB
PD,EC,CA,BD,ASB
PD,EC,CB,BA,ASC
PD,EC,CB,BB,ASC
PD,EC,CB,BC,ASC
PD,EC,CB,BD,ASC
PD,EC,CC,BA,ASD
PD,EC,CC,BB,ASD
PD,EC,CC,BC,ASD
PD,EC,CC,BD,ASD
PD,EC,CD,BA,ASE
PD,EC,CD,BB,ASE
PD,EC,CD,BC,ASE
PD,EC,CD,BD,ASE
PD,EC,CE,BA,ASF
PD,EC,CE,BB,ASF
PD,EC,CE,BC,ASF
PD,EC,CE,BD,ASF
PD,EC,CF,BA,ASG
PD,EC,CF,BB,ASG
PD,EC,CF,BC,ASG
PD,EC,CF,BD,ASG
PD,EC,CG,BA,ASH
PD,EC,CG,BB,ASH
PD,EC,CG,BC,ASH
PD,EC,CG,BD,ASH
PD,ED,CA,BA,ASB
PD,ED,CA,BB,ASB
PD,ED,CA,BC,ASB
PD,ED,CA,BD,ASB
PD,ED,CB,BA,ASC
PD,ED,CB,BB,ASC
PD,ED,CB,BC,ASC
PD,ED,CB,BD,ASC
PD,ED,CC,BA,ASD
PD,ED,CC,BB,ASD
PD,ED,CC,BC,ASD
PD,ED,CC,BD,ASD
PD,ED,CD,BA,ASE
PD,ED,CD,BB,ASE
PD,ED,CD,BC,ASE
PD,ED,CD,BD,ASE
PD,ED,CE,BA,ASF
PD,ED,CE,BB,ASF
PD,ED,CE,BC,ASF
PD,ED,CE,BD,ASF
PD,ED,CF,BA,ASG
PD,ED,CF,BB,ASG
PD,ED,CF,BC,ASG
PD,ED,CF,BD,ASG
PD,ED,CG,BA,ASH
PD,ED,CG,BB,ASH
PD,ED,CG,BC,ASH
PD,ED,CG,BD,ASH
PD,EE,CA,BA,ASC
PD,EE,CA,BB,ASC
PD,EE,CA,BC,ASC
PD,EE,CA,BD,ASC
PD,EE,CB,BA,ASD
PD,EE,CB,BB,ASD
PD,EE,CB,BC,ASD
PD,EE,CB,BD,ASD
PD,EE,CC,BA,ASE
PD,EE,CC,BB,ASE
PD,EE,CC,BC,ASE
PD,EE,CC,BD,ASE
PD,EE,CD,BA,ASF
PD,EE,CD,BB,ASF
PD,EE,CD,BC,ASF
